Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
,,,,,,,,06:05:00,07:45:00,1232,J,7M8,1234567,NMI,2914,IX
,,,,,,,,06:10:00,08:10:00,1624,J,32Q,1234567,BHO,368,6E
,,,,,,,,06:10:00,07:50:00,212,J,73J,6,BOM,115,SG
,,,,,,,,06:10:00,07:50:00,1272,J,73J,12345 7,BOM,115,SG
VS,316,LHR,1234567,789,J,1806,15:40:00,06:10:00,,,,,,,,
,,,,,,,,06:10:00,08:30:00,1134,J,7M8,1234567,VNS,1470,IX
,,,,,,,,06:15:00,08:45:00,720,J,32A,1 3 5 7,JDH,6032,6E
,,,,,,,,06:20:00,07:25:00,1323,J,7M8,1234567,CNN,1957,IX
,,,,,,,,06:20:00,07:35:00,532,J,E75,1234567,IXX,159,S5
,,,,,,,,06:25:00,07:35:00,372,J,32N,1    6 ,HYD,6178,6E
,,,,,,,,06:25:00,07:50:00,546,J,AT7,1234567,HBX,7227,6E
,,,,,,,,06:25:00,07:35:00,186,J,32N,4,HYD,6178,6E
,,,,,,,,06:25:00,07:35:00,186,J,32N,7,HYD,6178,6E
6E,5294,BOM,  3   7,32Q,J,440,04:30:00,06:25:00,,,,,,,,
6E,5294,BOM,2,32Q,J,220,04:30:00,06:25:00,,,,,,,,
6E,5294,BOM,1  4 6 ,32Q,J,660,04:30:00,06:25:00,,,,,,,,
6E,5294,BOM,5,32Q,J,220,04:30:00,06:25:00,,,,,,,,
,,,,,,,,06:25:00,07:35:00,186,J,32N,3,HYD,6178,6E
,,,,,,,,06:25:00,07:35:00,186,J,32N,2,HYD,6178,6E
,,,,,,,,06:25:00,07:35:00,186,J,32N,5,HYD,6178,6E
,,,,,,,,06:25:00,09:00:00,540,J,32A, 2 4 6 ,AYJ,934,6E
,,,,,,,,06:30:00,09:10:00,1624,J,32Q,1234567,CCU,6439,6E
,,,,,,,,06:30:00,11:45:00,1302,J,32N,1234567,HKT,1077,6E
,,,,,,,,06:35:00,08:35:00,1148,J,32N,1234567,BOM,2402,AI
,,,,,,,,06:35:00,07:40:00,1323,J,7M8,1234567,MAA,1472,IX
6E,6877,PNQ,1234567,32Q,J,1624,05:00:00,06:35:00,,,,,,,,
,,,,,,,,06:35:00,08:55:00,1288,J,7M8,1234567,IXR,1239,IX
6E,6422,AMD,4,32N,J,186,04:20:00,06:40:00,,,,,,,,
,,,,,,,,06:40:00,09:35:00,1232,J,7M8,1234567,DEL,2542,IX
6E,6422,AMD,5,32N,J,186,04:20:00,06:40:00,,,,,,,,
6E,6422,AMD,6,32N,J,186,04:20:00,06:40:00,,,,,,,,
6E,6422,AMD,12,32N,J,372,04:20:00,06:40:00,,,,,,,,
6E,6422,AMD,  3   7,32N,J,372,04:20:00,06:40:00,,,,,,,,
,,,,,,,,06:45:00,09:00:00,1624,J,32Q,1234567,UDR,687,6E
,,,,,,,,06:50:00,08:20:00,546,J,AT7,1234567,VGA,7204,6E
IX,866,AUH,2,320,J,180,01:00:00,06:50:00,,,,,,,,
IX,866,AUH,1 34567,32N,J,1116,01:00:00,06:50:00,,,,,,,,
,,,,,,,,06:50:00,13:15:00,1904,J,777,1234567,LHR,118,BA
,,,,,,,,06:50:00,08:20:00,546,J,AT7,1234567,IXG,7285,6E
,,,,,,,,06:55:00,08:05:00,546,J,AT7,1234567,TRZ,7236,6E
,,,,,,,,06:55:00,08:20:00,546,J,AT7,1234567,IXM,7171,6E
,,,,,,,,06:55:00,08:20:00,546,J,AT7,1234567,CNN,7728,6E
,,,,,,,,07:00:00,09:35:00,1134,J,7M8,1234567,CCU,1131,IX
,,,,,,,,07:00:00,09:50:00,1540,J,32Q,1234567,DEL,844,6E
,,,,,,,,07:00:00,10:00:00,1148,J,32N,1234567,DEL,2654,AI
,,,,,,,,07:05:00,07:55:00,1624,J,32Q,1234567,CJB,857,6E
QP,1901,AMD,1234567,7M8,J,1295,04:50:00,07:05:00,,,,,,,,
,,,,,,,,07:05:00,10:45:00,1302,J,32N,1234567,SXR,6947,6E
,,,,,,,,07:05:00,08:40:00,140,J,AT7,  3 5  ,COK,507,9I
,,,,,,,,07:10:00,08:30:00,1232,J,7M8,1234567,VGA,2875,IX
,,,,,,,,07:10:00,10:15:00,740,J,7M8,1  4 67,IXB,1372,QP
,,,,,,,,07:10:00,08:15:00,372,J,32N,1  4   ,COK,763,6E
,,,,,,,,07:10:00,08:15:00,186,J,32N,2,COK,763,6E
,,,,,,,,07:10:00,09:50:00,1056,J,7M8,12 4567,LKO,1479,IX
,,,,,,,,07:10:00,08:15:00,558,J,32N,  3 5 7,COK,763,6E
,,,,,,,,07:10:00,08:15:00,186,J,32N,6,COK,763,6E
,,,,,,,,07:10:00,09:40:00,186,J,32N,3,JAI,6353,6E
IX,2975,MAA,1234567,7M8,J,1232,05:50:00,07:10:00,,,,,,,,
,,,,,,,,07:15:00,08:15:00,696,J,32Q,1  4 6 ,MAA,6269,6E
,,,,,,,,07:15:00,08:15:00,928,J,32Q, 23 5 7,MAA,6269,6E
