Airline,FlightNumber,Origin,Op. days,Equipment,Service type,Seats,Departure time,Hub time,Arrival time,Seats,Service type,Equipment,Op. days,Arrival,FlightNumber,Airline
"6E","5321","PNQ","1234567","32Q","J","1624","00:15:00","02:30:00","","","","","","","",""
"","","","","","","","","02:30:00","04:50:00","984","J","32N","12 4567","CCU","2702","AI"
"","","","","","","","","02:30:00","04:50:00","164","J","32N","1 3    ","CCU","2702","AI"
"","","","","","","","","02:30:00","06:30:00","639","J","788","1 3 5  ","ADD","687","ET"
"","","","","","","","","02:30:00","06:30:00","270","J","788"," 2 4 6 ","ADD","687","ET"
"QR","578","DOH","1234567","359","J","1981","19:55:00","02:35:00","","","","","","","",""
"6E","2369","MAA","  3 5 7","32Q","J","660","23:45:00","02:40:00","","","","","","","",""
"6E","2369","MAA","12 4 6 ","32Q","J","880","23:45:00","02:40:00","","","","","","","",""
"","","","","","","","","02:45:00","05:00:00","1540","J","32Q","1234567","CCU","930","6E"
"","","","","","","","","02:50:00","08:30:00","2009","J","789","1234567","FRA","761","LH"
"6E","1170","CMB","12345 7","32N","J","1116","23:05:00","02:50:00","","","","","","","",""
"","","","","","","","","02:55:00","13:30:00","940","J","321","1 3 567","DPS","2147","AI"
"LO","071","WAW","1234567","788","J","756","15:55:00","02:55:00","","","","","","","",""
"","","","","","","","","02:55:00","09:40:00","1014","J","789","  3 5 7","MAN","33","6E"
"","","","","","","","","02:55:00","05:45:00","660","J","32Q"," 2  5 7","MAA","933","6E"
"LO","071","WAW","123 567","789","J","882","15:55:00","02:55:00","","","","","","","",""
"","","","","","","","","02:55:00","05:45:00","880","J","32Q","1 34 6 ","MAA","933","6E"
"","","","","","","","","03:00:00","05:20:00","220","J","32Q","  3    ","BOM","353","6E"
"","","","","","","","","03:00:00","05:55:00","880","J","32Q","1 34 6 ","BLR","820","6E"
"","","","","","","","","03:00:00","05:10:00","470","J","338"," 2  5  ","KWI","382","KU"
"","","","","","","","","03:00:00","08:10:00","1455","J","339"," 2 4567","FCO","0769","AZ"
"","","","","","","","","03:00:00","05:20:00","1320","J","32Q","12 4567","BOM","353","6E"
"","","","","","","","","03:00:00","05:55:00","660","J","32Q"," 2  5 7","BLR","820","6E"
"","","","","","","","","03:00:00","05:10:00","1390","J","339","1 34 67","KWI","382","KU"
"JL","749","NRT","1234567","788","J","1442","21:45:00","03:00:00","","","","","","","",""
"AI","2608","PNQ","1234567","32N","J","1148","00:35:00","03:00:00","","","","","","","",""
"AI","1832","CCU","1234567","32N","J","1148","00:30:00","03:05:00","","","","","","","",""
